"","author_year","covidence_review_id","outcome_category","effect_size_id_1","plain_language_outcome","plain_language_exposure","risk","k","n","r","cilb","ciub","i2","sig","outcome_lvl_1","rci"
"1","Anderson, 2010",6283,"Psychology","6283_006","Towards peers","Video games: Violent content","bold",14,"  5,513",0.198,0.172,0.223,"69%",1,"Aggression"," 0.20 [ 0.17,  0.22]"
"2","Bartel, 2015",6524,"Health Behaviour","6524_016","Bedtime","Internet use: General","bold",4,"  3,867",0.21161262,0.090453629,0.332771611,NA,1,"Sleep"," 0.21 [ 0.09,  0.33]"
"3","Bartel, 2015",6524,"Health Behaviour","6524_015","Bedtime","Screen use: General","bold",2,"  5,063",0.148491408,0.034254017,0.2627288,NA,1,"Sleep"," 0.15 [ 0.03,  0.26]"
"4","Bartel, 2015",6524,"Health Behaviour","6524_014","Bedtime","Screen use: General (mobile phone)","bold",2,"  5,590",0.130776565,0.130776565,0.130776565,NA,1,"Sleep"," 0.13 [ 0.13,  0.13]"
"5","Bartel, 2015",6524,"Health Behaviour","6524_011","Bedtime","TV programs and movies: General","bold",8," 11,712",0.04111168,-0.1116694,0.1938928,NA,0.3,"Sleep"," 0.04 [-0.11,  0.19]"
"6","Bartel, 2015",6524,"Health Behaviour","6524_013","Bedtime","Video game console: General","bold",6,"  5,916",0.12003854,0.042433433,0.197643646,NA,1,"Sleep"," 0.12 [ 0.04,  0.20]"
"7","Bartel, 2015",6524,"Health Behaviour","6524_003","Duration","Internet use: General","plain",5," 11,850",-0.086651287,-0.204056294,0.03075372,NA,0.3,"Sleep","-0.09 [-0.20,  0.03]"
"8","Bartel, 2015",6524,"Health Behaviour","6524_001","Duration","Screen use: General","plain",4,"  7,611",-0.156677283,-0.174805115,-0.13854945,NA,1,"Sleep","-0.16 [-0.17, -0.14]"
"9","Bartel, 2015",6524,"Health Behaviour","6524_002","Duration","Screen use: General (mobile phone)","plain",7," 18,902",-0.104478092,-0.273114495,0.064158311,NA,0.3,"Sleep","-0.10 [-0.27,  0.06]"
"10","Bartel, 2015",6524,"Health Behaviour","6524_005","Duration","TV programs and movies: General","plain",10,"  9,798",-0.058899747,-0.158533855,0.040734362,NA,0.3,"Sleep","-0.06 [-0.16,  0.04]"
"11","Bartel, 2015",6524,"Health Behaviour","6524_004","Duration","Video game console: General","plain",8,"  3,321",-0.059377085,-0.059377085,-0.059377085,NA,1,"Sleep","-0.06 [-0.06, -0.06]"
"12","Bartel, 2015",6524,"Health Behaviour","6524_012","Time to fall asleep","Internet use: General","bold",3,"  1,729",0.079647195,-0.029663312,0.188957702,NA,0.3,"Sleep"," 0.08 [-0.03,  0.19]"
"13","Bartel, 2015",6524,"Health Behaviour","6524_009","Time to fall asleep","Screen use: General","bold",1,"  3,282",0.04,0.04,0.04,NA,1,"Sleep"," 0.04 [ 0.04,  0.04]"
"14","Bartel, 2015",6524,"Health Behaviour","6524_008","Time to fall asleep","Screen use: General (mobile phone)","bold",2,"  3,432",0.039431818,0.039431818,0.039431818,NA,1,"Sleep"," 0.04 [ 0.04,  0.04]"
"15","Bartel, 2015",6524,"Health Behaviour","6524_006","Time to fall asleep","TV programs and movies: General","bold",6,"  5,633",0.009824427,-0.0369663,0.056615156,NA,0.3,"Sleep"," 0.01 [-0.04,  0.06]"
"16","Bartel, 2015",6524,"Health Behaviour","6524_007","Time to fall asleep","Video game console: General","bold",8,"  5,945",0.031143078,0.031143078,0.031143078,NA,1,"Sleep"," 0.03 [ 0.03,  0.03]"
"17","Boyland, 2016",6739,"Health Behaviour","6739_002","Unhealthy food","Advertising: Unhealthy food","bold",13,"  1,575",0.269629925519971,0.0449545065814817,0.309086072337558,"98%",1,"Diet"," 0.27 [ 0.04,  0.31]"
"18","Carter, 2016",6881,"Health Behaviour","6881_005","Duration","Screen use: General (mobile phone at bed time)","plain",7,"  6,849",0.282615823545158,0.130743619096873,0.421888149510966,"90%",1,"Sleep"," 0.28 [ 0.13,  0.42]"
