author_year,covidence_review_id,outcome_category,effect_size_id,plain_language_outcome,plain_language_exposure,moderator_level,moderator_category,risk,reported_k,reported_n,reported_r,reported_cilb,reported_ciub,reported_i2,reported_sig,use_effect,main_effect,moderator_age,raw_value,raw_cilb,raw_ciub,std_eff_name,term,type,reanalysis_estimate,reanalysis_std.error,reanalysis_statistic,reanalysis_p.value,reanalysis_conf.low,reanalysis_conf.high,reanalysis_k,reanalysis_i2,reanalysis_n,reanalysis_n_max,reanalysis_conf.low_999,reanalysis_conf.high_999,eggers_z,eggers_p,eggers_b,eggers_ci_l,eggers_ci_u,tes_obser,tes_expect,tes_ratio,tes_power,tes_p,tes_theta,tes_thetalim,source,r,n,k,i2,std.err,cilb95,ciub95,cilb999,ciub999,certainty
"Bartel, 2015",6524,health behaviour,6524_015,Sleep: Bedtime,Computer use: General,overall,overall,bold,2,5063,0.148,0.034,0.263,NA,1,TRUE,TRUE,Adolescents,0.148,0.034,0.263,r,overall,summary,0.132155980050854,0.058988674422485794,2.2403619227706817,0.02506743617554936,0.016540302687022793,0.2477716574146852,2,93.97324784000278,5063,3282,-0.06194782999160864,0.3262597900933166,NA,NA,NA,NA,NA,2,1.7710934972691001,1.129245860302608,,0.7836968842657225,0.132155980050854,NA,reanalysis,0.132155980050854,5063,2,93.97324784000278,0.058988674422485794,0.016540302687022793,0.2477716574146852,-0.06194782999160864,0.3262597900933166,unclear
"Bartel, 2015",6524,health behaviour,6524_001,Sleep: Duration,Computer use: General,overall,overall,plain,4,7611,-0.157,-0.175,-0.139,NA,1,TRUE,TRUE,Adolescents,-0.157,-0.175,-0.139,r,overall,summary,-0.16474308788757142,0.016243433745890615,-10.1421343827163,3.591649199972822e-24,-0.19657963301477954,-0.1329065427603633,4,39.229042944068034,7611,4479,-0.21819254083964226,-0.11129363493550057,NA,NA,NA,NA,NA,4,3.970673621234407,1.0073857439727005,,0.9708755874142798,-0.16474308788757142,-0.061378935372432976,reanalysis,-0.16474308788757142,7611,4,39.229042944068034,0.016243433745890615,-0.19657963301477954,-0.1329065427603633,-0.21819254083964226,-0.11129363493550057,unclear
"Bartel, 2015",6524,health behaviour,6524_009,Sleep: Time to fall asleep,Computer use: General,overall,overall,bold,1,3282,0.04,0.04,0.04,NA,1,TRUE,TRUE,Adolescents,0.04,0.04,0.04,r,overall,summary,0.04,0.017430163347800176,2.2948723544262317,0.021740440562674993,0.00583750759366157,0.07416249240633843,1,0,3282,3282,-0.017354418430207005,0.09735441843020701,NA,NA,NA,NA,NA,1,0.631163356045112,1.58437588371104,,0.631163356045112,0.04,0.011399928280018562,reanalysis,0.04,3282,1,0,0.017430163347800176,0.00583750759366157,0.07416249240633843,-0.017354418430207005,0.09735441843020701,unclear
"Bartel, 2015",6524,health behaviour,6524_016,Sleep: Bedtime,Internet use: General,overall,overall,bold,4,3867,0.212,0.09,0.333,NA,1,TRUE,TRUE,Adolescents,0.212,0.09,0.333,r,overall,summary,0.2011365434207757,0.047546088027359344,4.230348947005611,2.3332908125589616e-5,0.10794792328138034,0.294325163560171,4,86.12390502082062,3867,2138,0.04468486978888228,0.3575882170526691,NA,NA,NA,NA,NA,3,3.4781221824885593,0.8625343914323136,,0.9330306849363866,0.2011365434207757,NA,reanalysis,0.2011365434207757,3867,4,86.12390502082062,0.047546088027359344,0.10794792328138034,0.294325163560171,0.04468486978888228,0.3575882170526691,unclear
"Bartel, 2015",6524,health behaviour,6524_003,Sleep: Duration,Internet use: General,overall,overall,plain,5,11850,-0.087,-0.204,0.031,NA,0.3,TRUE,TRUE,Adolescents,-0.087,-0.204,0.031,r,overall,summary,-0.12279789348132164,0.04261506246210703,-2.8815608000225867,0.003957108821857424,-0.2063218811059762,-0.03927390585666708,5,92.19696704593363,11850,8004,-0.2630238956770823,0.017428108714439006,NA,NA,NA,NA,NA,4,3.634794705497792,1.1004748064450018,,0.5828847697075044,-0.12279789348132164,NA,reanalysis,-0.12279789348132164,11850,5,92.19696704593363,0.04261506246210703,-0.2063218811059762,-0.03927390585666708,-0.2630238956770823,0.017428108714439006,unclear
"Bartel, 2015",6524,health behaviour,6524_012,Sleep: Time to fall asleep,Internet use: General,overall,overall,bold,3,1729,0.08,-0.03,0.189,NA,0.3,TRUE,TRUE,Adolescents,0.08,-0.03,0.189,r,overall,summary,0.0920727416298843,0.05255952446444349,1.7517803398729663,0.07981158605579752,-0.010942033364976789,0.19508751662474538,3,72.59918933398683,1729,1110,-0.08087577861487003,0.2650212618746386,NA,NA,NA,NA,NA,1,1.5305169018227818,0.653374032530475,,0.8998887199921636,0.0920727416298843,NA,reanalysis,0.0920727416298843,1729,3,72.59918933398683,0.05255952446444349,-0.010942033364976789,0.19508751662474538,-0.08087577861487003,0.2650212618746386,unclear
"Bartel, 2015",6524,health behaviour,6524_014,Sleep: Bedtime,Screen use: General (mobile phone),overall,overall,bold,2,5590,0.131,0.131,0.131,NA,1,TRUE,TRUE,Adolescents,0.131,0.131,0.131,r,overall,summary,0.13084312032173223,0.01314781535503443,9.951700475595066,2.4791032410539898e-23,0.10507387575048205,0.15661236489298241,3,0,5590,3282,0.08757988243527164,0.1741063582081928,NA,NA,NA,NA,NA,2,2.400931592409466,0.8330099892570829,,0.9999921515148333,0.13084312032173223,0.02581445791066207,reanalysis,0.13084312032173223,5590,3,0,0.01314781535503443,0.10507387575048205,0.15661236489298241,0.08757988243527164,0.1741063582081928,unclear
"Bartel, 2015",6524,health behaviour,6524_002,Sleep: Duration,Screen use: General (mobile phone),overall,overall,plain,7,18902,-0.104,-0.273,0.064,NA,0.3,TRUE,TRUE,Adolescents,-0.104,-0.273,0.064,r,overall,summary,-0.11704465994237206,0.03185228315902832,-3.6746081704098037,2.3821470718927458e-4,-0.17947398775943926,-0.05461533212530487,7,94.22909654964442,18902,4217,-0.22185544913620436,-0.01223387074853978,NA,NA,NA,NA,NA,4,5.506459865793803,0.7264195322384985,,0.9731642993685017,-0.11704465994237206,NA,reanalysis,-0.11704465994237206,18902,7,94.22909654964442,0.03185228315902832,-0.17947398775943926,-0.05461533212530487,-0.22185544913620436,-0.01223387074853978,unclear
"Bartel, 2015",6524,health behaviour,6524_008,Sleep: Time to fall asleep,Screen use: General (mobile phone),overall,overall,bold,2,3432,0.039,0.039,0.039,NA,1,TRUE,TRUE,Adolescents,0.039,0.039,0.039,r,overall,summary,0.03943621832857615,0.0170480201458991,2.3132432969386496,0.020709266306071793,0.006022712834900641,0.07284972382225166,2,0,3432,3282,-0.01666074768051746,0.09553318433766975,NA,NA,NA,NA,NA,1,0.6958827229212607,1.437023749924526,,0.6482384938400902,0.03943621832857615,0.0025902478551129713,reanalysis,0.03943621832857615,3432,2,0,0.0170480201458991,0.006022712834900641,0.07284972382225166,-0.01666074768051746,0.09553318433766975,unclear
"Bartel, 2015",6524,health behaviour,6524_011,Sleep: Bedtime,TV programs and movies: General,overall,overall,bold,8,11712,0.041,-0.112,0.194,NA,0.3,TRUE,TRUE,Adolescents,0.041,-0.112,0.194,r,overall,summary,0.05929313719471009,0.031111935114229414,1.905800361726509,0.05667611200122369,-0.0016851351185266025,0.12027140950794679,8,90.03974875171521,11712,3282,-0.04308151696710362,0.16166779135652382,NA,NA,NA,NA,NA,5,4.546253809759054,1.099806612043289,,0.5213230477336374,0.05929313719471009,NA,reanalysis,0.05929313719471009,11712,8,90.03974875171521,0.031111935114229414,-0.0016851351185266025,0.12027140950794679,-0.04308151696710362,0.16166779135652382,unclear
"Bartel, 2015",6524,health behaviour,6524_005,Sleep: Duration,TV programs and movies: General,overall,overall,plain,10,9798,-0.059,-0.159,0.041,NA,0.3,TRUE,TRUE,Adolescents,-0.059,-0.159,0.041,r,overall,summary,-0.05597356771143311,0.023704376166970444,-2.3613178983139154,0.018210112921808668,-0.10243329127468478,-0.009513844148181433,10,78.04386564231167,9798,2156,-0.13397345114218911,0.022026315719322884,-0.20901663368729306,0.8344352535964552,-0.04736044985858412,-0.1411866822674132,0.046465782550244986,4,4.368050364325211,0.9157403569951583,,0.7224010271238611,-0.05597356771143311,NA,reanalysis,-0.05597356771143311,9798,10,78.04386564231167,0.023704376166970444,-0.10243329127468478,-0.009513844148181433,-0.13397345114218911,0.022026315719322884,meets criteria
"Bartel, 2015",6524,health behaviour,6524_006,Sleep: Time to fall asleep,TV programs and movies: General,overall,overall,bold,6,5633,0.01,-0.037,0.057,NA,0.3,TRUE,TRUE,Adolescents,0.01,-0.037,0.057,r,overall,summary,0.02687193822548027,0.022217084376989518,1.2095168641170504,0.22646433613050307,-0.01667274699490668,0.07041662344586722,6,42.9998248117161,5633,3282,-0.046233971812815036,0.09997784826377558,NA,NA,NA,NA,NA,1,1.208773710655234,0.8272847028232727,,0.7671828409713458,0.02687193822548027,NA,reanalysis,0.02687193822548027,5633,6,42.9998248117161,0.022217084376989518,-0.01667274699490668,0.07041662344586722,-0.046233971812815036,0.09997784826377558,unclear
"Bartel, 2015",6524,health behaviour,6524_013,Sleep: Bedtime,Video games: General,overall,overall,bold,6,5916,0.12,0.0424,0.198,NA,1,TRUE,TRUE,Adolescents,0.12,0.0424,0.198,r,overall,summary,0.106656611396124,0.027139655259419696,3.9299176933762032,8.49749438050607e-5,0.05346386453482834,0.15984935825741964,6,67.00777723698498,5916,3282,0.01735285028152847,0.19596037251071952,NA,NA,NA,NA,NA,4,3.7560640101461233,1.0649445774073447,,0.6028660108904146,0.106656611396124,0.04649465280261749,reanalysis,0.106656611396124,5916,6,67.00777723698498,0.027139655259419696,0.05346386453482834,0.15984935825741964,0.01735285028152847,0.19596037251071952,unclear
"Bartel, 2015",6524,health behaviour,6524_004,Sleep: Duration,Video games: General,overall,overall,plain,8,3321,-0.059,-0.059,-0.059,NA,1,TRUE,TRUE,Adolescents,-0.059,-0.059,-0.059,r,overall,summary,-0.0535777360228465,0.02248041727888606,-2.3833070070797797,0.017157878454191377,-0.0976385442468951,-0.009516927798797911,8,28.744002806672498,3321,1111,-0.1275501500141137,0.020394677968420705,NA,NA,NA,NA,NA,2,1.8008926297675016,1.1105603781932316,,0.5798972572368608,-0.0535777360228465,NA,reanalysis,-0.0535777360228465,3321,8,28.744002806672498,0.02248041727888606,-0.0976385442468951,-0.009516927798797911,-0.1275501500141137,0.020394677968420705,unclear
"Bartel, 2015",6524,health behaviour,6524_007,Sleep: Time to fall asleep,Video games: General,overall,overall,bold,8,5945,0.031,0.031,0.031,NA,1,TRUE,TRUE,Adolescents,0.031,0.031,0.031,r,overall,summary,0.03175542349047354,0.012971116016239627,2.4481643253145116,0.014358615306475225,0.006332503259353216,0.05717834372159387,8,0.07901287779104695,5945,3282,-0.010926380498245812,0.0744372274791929,NA,NA,NA,NA,NA,2,1.115647378283768,1.792681127505231,,0.30317603654840486,0.03175542349047354,0.01471112780689659,reanalysis,0.03175542349047354,5945,8,0.07901287779104695,0.012971116016239627,0.006332503259353216,0.05717834372159387,-0.010926380498245812,0.0744372274791929,unclear
"Boyland, 2016",6739,health behaviour,6739_002,Diet: Food intake,Advertising: Unhealthy food,overall,overall,bold,13,1575,0.2696299255199709,0.08963769949589058,0.4253611398224214,98,1,TRUE,TRUE,All,0.56,0.18,0.94,d,overall,summary,0.2512011537224265,0.06482161017699899,3.8752686493980617,1.0650712900522952e-4,0.12415313235561348,0.37824917508923955,13,88.83000795475898,1756,270,0.03790391265666329,0.4644983947881898,-0.4821118982937479,0.6297264579536713,0.3987012633624018,-0.21528947947703253,1.012692006201836,8,8.956577562077236,0.8931983164945223,,0.8135634281152538,0.2512011537224265,NA,reanalysis,0.2512011537224265,1756,13,88.83000795475898,0.06482161017699899,0.12415313235561348,0.37824917508923955,0.03790391265666329,0.4644983947881898,meets criteria
"Carter, 2016",6881,health behaviour,6881_005,Sleep: Inadequate duration,Screen use: General (mobile phone at bed time),overall,overall,bold,7,6478,0.2826158235451575,0.1307436190968727,0.42188814951096576,90,1,TRUE,TRUE,All,2.17,1.42,3.32,or,overall,summary,0.2068336939896757,0.05303176451185631,3.9001850286055237,9.611920066377919e-5,0.10289334550982798,0.3107740424695234,7,94.08022927508398,6849,3396,0.03233125524522845,0.3813361327341229,NA,NA,NA,NA,NA,5,5.86671162829791,0.8522661955775442,,0.914809932145102,0.2068336939896757,NA,reanalysis,0.2068336939896757,6849,7,94.08022927508398,0.05303176451185631,0.10289334550982798,0.3107740424695234,0.03233125524522845,0.3813361327341229,unclear
"Carter, 2016",6881,health behaviour,6881_007,Sleep: Lethargy,Screen use: General (mobile phone at bed time),overall,overall,bold,2,1389,0.3585639061450145,0.10373735875698897,0.5694486425641824,50,1,TRUE,TRUE,All,2.72,1.32,5.61,or,overall,summary,0.23465402717094608,0.100678880414145,2.330717487179944,0.019768261472210155,0.03732704755540689,0.43198100678648527,2,86.74214557816765,1389,1184,-0.0966325201284754,0.5659405744703676,NA,NA,NA,NA,NA,1,1.6829686731348434,0.5941881248076432,,0.9826542189742514,0.23465402717094608,NA,reanalysis,0.23465402717094608,1389,2,86.74214557816765,0.100678880414145,0.03732704755540689,0.43198100678648527,-0.0966325201284754,0.5659405744703676,unclear
"Carter, 2016",6881,health behaviour,6881_001,Sleep: Poor quality,Screen use: General (mobile phone at bed time),overall,overall,bold,7,2673,0.14096858651109265,0.049096093745623154,0.2324018115905703,76,1,TRUE,TRUE,All,1.46,1.14,1.88,or,overall,summary,0.1955582572318872,0.04789842789916199,4.082769848805593,4.450209063785159e-5,0.10167906363344119,0.2894374508303332,7,95.26048083749717,14778,9846,0.037947199833256756,0.3531693146305176,NA,NA,NA,NA,NA,6,5.940904108697763,1.0099472892039643,,0.7139428700793888,0.1955582572318872,NA,reanalysis,0.1955582572318872,14778,7,95.26048083749717,0.04789842789916199,0.10167906363344119,0.2894374508303332,0.037947199833256756,0.3531693146305176,unclear
"Ferguson, 2017",7374,psychology,7374_019,Risky behavior: Sexual activity,Screen use: Sexual content,overall,overall,bold,22,11007,0.037,0,0.073,75.75897495094078,0.3,NA,NA,All,0.037,0,0.073,r,overall,summary,0.03701967616782734,0.018039260936773358,2.052172552832365,0.04015289591135635,0.0016633744240312845,0.0723759779116234,22,73.88031486973723,12107,1461,-0.0223389941609832,0.09637834649663787,-0.3831281667332006,0.7016247360737544,0.07021979201327319,-0.10343521815040993,0.2438748021769563,6,7.692743767658104,0.7799557844660377,,0.7754165263498708,0.03701967616782734,NA,reanalysis,0.03701967616782734,12107,22,73.88031486973723,0.018039260936773358,0.0016633744240312845,0.0723759779116234,-0.0223389941609832,0.09637834649663787,meets criteria
"Ferguson, 2017",7374,psychology,7374_033,Risky behavior: Sexual activity,Screen use: Sexual content,overall,overall,bold,25,17402,0.082,0.05,0.113,76.64915353181553,1,TRUE,TRUE,All,0.082,0.05,0.113,r,overall,summary,0.08207417761578725,0.015461622904565044,5.308251153347871,1.1068206298435092e-7,0.05176995358030019,0.11237840165127432,25,75.08381243355133,18127,2251,0.03119729413606838,0.13295106109550614,-0.7549002177241791,0.4503088551439381,0.11442460018473667,0.025197011284547502,0.20365218908492583,11,12.942221872128947,0.8499313416723663,,0.7815313323152894,0.08207417761578725,0.02088044311358544,reanalysis,0.08207417761578725,18127,25,75.08381243355133,0.015461622904565044,0.05176995358030019,0.11237840165127432,0.03119729413606838,0.13295106109550614,meets criteria
"Ferguson, 2017",7374,psychology,7374_031,Risky behavior: Sexual activity (initiation of sex),Screen use: Sexual content,overall,overall,bold,16,17019,0.079,0.039,0.118,82.71491126987785,1,TRUE,TRUE,All,0.079,0.039,0.118,r,overall,summary,0.0781045131416667,0.02118469178028444,3.686837361228676,2.2705836816641509e-4,0.03658328022872749,0.11962574605460592,16,84.95047503707741,17019,4808,0.008395718540223807,0.1478133077431096,-0.7307795036238814,0.4649138448431697,0.1136639080013613,0.009462290906846499,0.2178655250958761,8,8.859170417125773,0.9030190890712634,,0.7655113214341076,0.0781045131416667,NA,reanalysis,0.0781045131416667,17019,16,84.95047503707741,0.02118469178028444,0.03658328022872749,0.11962574605460592,0.008395718540223807,0.1478133077431096,meets criteria
"Hammersley, 2016",7702,physical health,7702_005,Body composition,Intervention: To promote healthy weight (obesity prevention),obesity_prevention,intervention type,bold,4,1102,0.024992191160203066,-0.09457419252642066,0.14834045293024462,63,0.3,TRUE,TRUE,All,0.05,-0.19,0.3,d,overall,summary,0.09722021257242272,0.08330652747840936,1.167017945834069,0.24320312236793545,-0.06605758096235595,0.2604980061072014,4,81.10460756783056,1102,507,-0.17690214300304866,0.3713425681478941,NA,NA,NA,NA,NA,1,1.7062111070276023,0.5860939457498342,,0.9179831803458361,0.09722021257242272,NA,reanalysis,0.09722021257242272,1102,4,81.10460756783056,0.08330652747840936,-0.06605758096235595,0.2604980061072014,-0.17690214300304866,0.3713425681478941,unclear
