Review ID,Effect Size ID,Study-Level Available?,Value,Value - CI lower bound,Value - CI upper bound,p-value,Statistical Test,k (number of effects informing this test),Combined N,Exposure - Author Description,Plain Language - Exposure,Outcome - Author Description,Outcome Level 1,Outcome Level 2,Outcome Level 3,Outcome Plain Language Descriptor,Benefit or Risk?,Moderator Level Recoded,Moderator Category Recoded,Use Moderator,I2 calculated,Value_raw_SE,Value_raw_SD
6283,6283_005,,0.075,0.045,0.104,-999,r,12,4429, ,Video games: Violent content,  ,psychology,psychology_behaviour,psychology_behaviour_aggression,Aggression: Towards peers,Risk,high methodological quality_partialed effect,methodological quality/correlation type,FALSE,0,,
6283,6283_006,,0.198,0.172,0.223,-999,r,14,5513, ,Video games: Violent content,  ,psychology,psychology_behaviour,psychology_behaviour_aggression,Aggression: Towards peers,Risk,full sample,methodological quality/correlation type,FALSE,68.69732723,,
6283,6283_007,,0.203,0.175,0.231,-999,r,12,4526, ,Video games: Violent content,  ,psychology,psychology_behaviour,psychology_behaviour_aggression,Aggression: Towards peers,Risk,high methodological quality_raw effect,methodological quality/correlation type,FALSE,72.98624754,,
6524,6524_015,TRUE,0.148,0.034,0.263,-999,r,2,5063, ,Computer use: General,  ,health behaviour,health behaviour_sleep,health behaviour_sleep_bedtime,Sleep: Bedtime,Risk,overall,overall,TRUE,,,
6524,6524_001,TRUE,-0.157,-0.175,-0.139,-999,r,4,7611, ,Computer use: General,  ,health behaviour,health behaviour_sleep,health behaviour_sleep_duration,Sleep: Duration,Benefit,overall,overall,TRUE,,,
6524,6524_009,TRUE,0.04,0.04,0.04,-999,r,1,3282, ,Computer use: General,  ,health behaviour,health behaviour_sleep,health behaviour_sleep_onset_latency,Sleep: Time to fall asleep,Risk,overall,overall,TRUE,,,
6524,6524_016,TRUE,0.212,0.09,0.333,-999,r,4,3867, ,Internet use: General,  ,health behaviour,health behaviour_sleep,health behaviour_sleep_bedtime,Sleep: Bedtime,Risk,overall,overall,TRUE,,,
6524,6524_003,TRUE,-0.087,-0.204,0.031,-999,r,5,11850, ,Internet use: General,  ,health behaviour,health behaviour_sleep,health behaviour_sleep_duration,Sleep: Duration,Benefit,overall,overall,TRUE,,,
6524,6524_012,TRUE,0.08,-0.03,0.189,-999,r,3,1729, ,Internet use: General,  ,health behaviour,health behaviour_sleep,health behaviour_sleep_onset_latency,Sleep: Time to fall asleep,Risk,overall,overall,TRUE,,,
6524,6524_014,TRUE,0.131,0.131,0.131,-999,r,2,5590, ,Screen use: General (mobile phone),  ,health behaviour,health behaviour_sleep,health behaviour_sleep_bedtime,Sleep: Bedtime,Risk,overall,overall,TRUE,,,
6524,6524_002,TRUE,-0.104,-0.273,0.064,-999,r,7,18902, ,Screen use: General (mobile phone),  ,health behaviour,health behaviour_sleep,health behaviour_sleep_duration,Sleep: Duration,Benefit,overall,overall,TRUE,,,
6524,6524_008,TRUE,0.039,0.039,0.039,-999,r,2,3432, ,Screen use: General (mobile phone),  ,health behaviour,health behaviour_sleep,health behaviour_sleep_onset_latency,Sleep: Time to fall asleep,Risk,overall,overall,TRUE,,,
6524,6524_011,TRUE,0.041,-0.112,0.194,-999,r,8,11712, ,TV programs and movies: General,  ,health behaviour,health behaviour_sleep,health behaviour_sleep_bedtime,Sleep: Bedtime,Risk,overall,overall,TRUE,,,
6524,6524_005,TRUE,-0.059,-0.159,0.041,-999,r,10,9798, ,TV programs and movies: General,  ,health behaviour,health behaviour_sleep,health behaviour_sleep_duration,Sleep: Duration,Benefit,overall,overall,TRUE,,,
6524,6524_006,TRUE,0.01,-0.037,0.057,-999,r,6,5633, ,TV programs and movies: General,  ,health behaviour,health behaviour_sleep,health behaviour_sleep_onset_latency,Sleep: Time to fall asleep,Risk,overall,overall,TRUE,,,
6524,6524_013,TRUE,0.12,0.0424,0.198,-999,r,6,5916, ,Video games: General,  ,health behaviour,health behaviour_sleep,health behaviour_sleep_bedtime,Sleep: Bedtime,Risk,overall,overall,TRUE,,,
6524,6524_004,TRUE,-0.059,-0.059,-0.059,-999,r,8,3321, ,Video games: General,  ,health behaviour,health behaviour_sleep,health behaviour_sleep_duration,Sleep: Duration,Benefit,overall,overall,TRUE,,,
6524,6524_007,TRUE,0.031,0.031,0.031,-999,r,8,5945, ,Video games: General,  ,health behaviour,health behaviour_sleep,health behaviour_sleep_onset_latency,Sleep: Time to fall asleep,Risk,overall,overall,TRUE,,,
6739,6739_002,TRUE,0.56,0.18,0.94,0.003,std. mean difference,13,1575, ,Advertising: Unhealthy food,  ,health behaviour,health behaviour_dietary,health behaviour_dietary_unhealthy food,Diet: Food intake,Risk,overall,overall,TRUE,98,,
6881,6881_005,TRUE,2.17,1.42,3.32,0.001,Pooled odds ratio,7,6478, ,Screen use: General (mobile phone at bed time),  ,health behaviour,health behaviour_sleep,health behaviour_insufficent_sleep_duration,Sleep: Inadequate duration,Risk,overall,overall,TRUE,90,,
6881,6881_007,TRUE,2.72,1.32,5.61,0.007,Pooled odds ratio,2,1389, ,Screen use: General (mobile phone at bed time),  ,health behaviour,health behaviour_sleep,health behaviour_sleep_excessive_daytime_sleepiness,Sleep: Lethargy ,Risk,overall,overall,TRUE,50,,
6881,6881_001,TRUE,1.46,1.14,1.88,0.003,Pooled odds ratio,7,2673, ,Screen use: General (mobile phone at bed time),  ,health behaviour,health behaviour_sleep,health behaviour_sleep_poor_quality,Sleep: Poor quality,Risk,overall,overall,TRUE,76,,
7374,7374_013,TRUE,0.005,-0.039,0.049,-999,r,13,10624, ,Screen use: General,  ,psychology,psychology_risky behaviour,psychology_risky behaviour_sex behaviour,Risky behavior: Sexual activity,Risk,hours total,media ,FALSE,78.0861943,,
7374,7374_017,,0.024,-0.029,0.076,-999,r,10,4950, ,Screen use: General,  ,psychology,psychology_risky behaviour,psychology_risky behaviour_sex behaviour,Risky behavior: Sexual activity,Risk,boys,gender,FALSE,,,
7374,7374_029,,0.075,0.02,0.13,-999,r,10,5397, ,Screen use: General,  ,psychology,psychology_risky behaviour,psychology_risky behaviour_sex behaviour,Risky behavior: Sexual activity,Risk,girls,gender,FALSE,,,
7374,7374_019,TRUE,0.037,0,0.073,-999,r,22,11007, ,Screen use: Sexual content,  ,psychology,psychology_risky behaviour,psychology_risky behaviour_sex behaviour,Risky behavior: Sexual activity,Risk,overall,overall,TRUE,75.75897495,,
7374,7374_033,TRUE,0.082,0.05,0.113,-999,r,25,17402, ,Screen use: Sexual content,  ,psychology,psychology_risky behaviour,psychology_risky behaviour_sex behaviour,Risky behavior: Sexual activity,Risk,overall,overall,TRUE,76.64915353,,
7374,7374_031,TRUE,0.079,0.039,0.118,-999,r,16,17019, ,Screen use: Sexual content,  ,psychology,psychology_risky behaviour,psychology_risky behaviour_sex behaviour,Risky behavior: Sexual activity (initiation),Risk,overall,overall,TRUE,82.71491127,,
7702,7702_003,TRUE,-0.15,-0.45,0.16,0.35,std mean difference,8,1452, ,Intervention: To promote healthy weight,  ,physical health,physical health_body composition,physical health_body composition_bmi,Body composition,Risk,overall,overall,FALSE,84,,
7702,7702_001,,-0.39,-0.97,0.2,0.19,std mean difference,5,350, ,Intervention: To promote healthy weight,  ,physical health,physical health_body composition,physical health_body composition_bmi,Body composition,Risk,obesity_treatment,intervention type,FALSE,85,,
7702,7702_005,TRUE,0.05,-0.19,0.3,0.67,std mean difference,4,1102, ,Intervention: To promote healthy weight (obesity prevention),  ,physical health,physical health_body composition,physical health_body composition_bmi,Body composition,Risk,obesity_prevention,intervention type,TRUE,63,,
8365,8365_001,TRUE,-0.154,-0.354,0.045,0.129,hedges g,5,389, ,Intervention: Screentime reduction,  ,physical health,physical health_body composition,physical health_body composition_bmi,Body composition,Risk,overall,intervention type,TRUE,0,,
8556,8556_122,FALSE,0.066,0.056,0.078,-999,r = uncorrected sample-weighted mean effect size,52,44707, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,overall,overall,TRUE,69.14700544,,
8556,8556_129,FALSE,0.068,0.04,0.096,-999,r = uncorrected sample-weighted mean effect size,19,29382, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,BMI,adiposity measure,TRUE,,,
8556,8556_143,FALSE,0.175,0.086,0.264,-999,r = uncorrected sample-weighted mean effect size,2,1252, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,Other,adiposity measure,TRUE,,,
8556,8556_113,,0.043,0.041,0.045,-999,r = uncorrected sample-weighted mean effect size,36,29431, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,self-report_general,tv measure,FALSE,0,,
8556,8556_114,,0.047,0.047,0.047,-999,r = uncorrected sample-weighted mean effect size,15,14949, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,boys,gender,FALSE,0,,
8556,8556_115,,0.041,0.03,0.052,-999,r = uncorrected sample-weighted mean effect size,8,15797, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,longitudinal,study design,TRUE,,,
8556,8556_116,,0.059,0.051,0.066,-999,r = uncorrected sample-weighted mean effect size,19,23006, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,measure_tv composite (includes tv and playing computer games),tv measure,FALSE,,,
8556,8556_119,TRUE,0.057,0.037,0.077,-999,r = uncorrected sample-weighted mean effect size,12,3196, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,13-18,age,TRUE,0,,
8556,8556_121,,0.063,0.034,0.092,-999,r = uncorrected sample-weighted mean effect size,22,21662, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,girls,gender,FALSE,,,
8556,8556_126,,0.076,0.049,0.103,-999,r = uncorrected sample-weighted mean effect size,24,18788, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,7-Dec,age,TRUE,0,,
8556,8556_130,,0.094,0.094,0.094,-999,r = uncorrected sample-weighted mean effect size,2,215, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,direct observation,tv measure,FALSE,0,,
8556,8556_131,,0.053,0.043,0.063,-999,r = uncorrected sample-weighted mean effect size,43,28718, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,cross-sectional,study design,TRUE,,,
8556,8556_132,,0.112,0.055,0.169,-999,r = uncorrected sample-weighted mean effect size,15,8096, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,mixed,gender,FALSE,,,
8556,8556_133,,0.114,0.054,0.174,-999,r = uncorrected sample-weighted mean effect size,6,10151, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,other reported_parent,tv measure,FALSE,51.38888889,,
8556,8556_134,,0.088,0.056,0.12,-999,r = uncorrected sample-weighted mean effect size,33,21701, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,measure_tv only,tv measure,FALSE,,,
8556,8556_138,TRUE,0.146,0.089,0.203,-999,r = uncorrected sample-weighted mean effect size,4,2047, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,0-6,age,TRUE,0,,
8556,8556_144,,0.262,-999,-999,-999,r = uncorrected sample-weighted mean effect size,1,192, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,RCT,study design,TRUE,,,
8556,8556_083,,-0.115,-0.144,-0.086,-999,r = uncorrected sample-weighted mean effect size,16,67136, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,girls,gender,FALSE,72.88676236,,
8556,8556_084,,-0.118,-0.184,-0.052,-999,r = uncorrected sample-weighted mean effect size,5,618, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,objective measure,physical activity measure,FALSE,,,
8556,8556_085,FALSE,-0.113,-0.136,-0.09,-999,r = uncorrected sample-weighted mean effect size,16,14630, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,13-18,age,TRUE,,,
8556,8556_087,,-0.104,-0.125,-0.083,-999,r = uncorrected sample-weighted mean effect size,13,126046, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,general vigorous intensity,Physical activity intensity,FALSE,,,
8556,8556_088,,-0.097,-0.114,-0.081,-999,r = uncorrected sample-weighted mean effect size,33,139349, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,self-report_general,tv measure,FALSE,69.6969697,,
8556,8556_089,,-0.098,-0.113,-0.083,-999,r = uncorrected sample-weighted mean effect size,31,138005, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,measure_tv only,tv measure,FALSE,,,
8556,8556_090,,-0.096,-0.113,-0.079,-999,r = uncorrected sample-weighted mean effect size,34,140887, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,subjective measure,physical activity measure,FALSE,,,
8556,8556_091,,-0.097,-0.114,-0.081,-999,r = uncorrected sample-weighted mean effect size,35,139047, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,cross-sectional,study design,TRUE,,,
8556,8556_093,FALSE,-0.09,-0.098,-0.082,-999,r = uncorrected sample-weighted mean effect size,9,84347, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,7-Dec,age,TRUE,0,,
8556,8556_095,,-0.085,-0.102,-0.069,-999,r = uncorrected sample-weighted mean effect size,12,63085, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,boys,gender,FALSE,38.96713615,,
8556,8556_103,,-0.066,-0.085,-0.046,-999,r = uncorrected sample-weighted mean effect size,12,9229, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,general combined intensity,Physical activity intensity,FALSE,,,
8556,8556_104,,-0.066,-0.131,0,-999,r = uncorrected sample-weighted mean effect size,3,9122, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,general sports,Physical activity intensity,FALSE,,,
8556,8556_106,FALSE,-0.046,-0.153,0.06,-999,r = uncorrected sample-weighted mean effect size,3,631, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,0-6,age,TRUE,52.38095238,,
8556,8556_107,,-0.038,-0.088,0.012,-999,r = uncorrected sample-weighted mean effect size,11,11284, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,mixed,gender,FALSE,84.3953186,,
8556,8556_110,,-0.007,-0.108,0.095,-999,r = uncorrected sample-weighted mean effect size,4,2458, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,longitudinal,study design,TRUE,,,
8556,8556_111,,-0.002,-0.129,0.126,-999,r = uncorrected sample-weighted mean effect size,7,3393, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,measure_tv composite (includes tv and playing computer games),tv measure,FALSE,,,
8556,8556_112,,0.042,-0.094,0.178,-999,r = uncorrected sample-weighted mean effect size,5,2043, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,other reported_parent,tv measure,FALSE,84.73282443,,
8556,8556_128,,0.062,-0.033,0.157,-999,r = uncorrected sample-weighted mean effect size,11,1847, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,MVPA,Physical activity intensity,FALSE,,,
8556,8556_092,FALSE,-0.096,-0.112,-0.08,-999,r = uncorrected sample-weighted mean effect size,39,141505, ,TV programs and movies: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,overall,overall,TRUE,73.01136364,,
