Review ID,Reviewer,Eligibility criteria predefined and specified?,Literature search strategy comprehensive and systematic?,Dual independent screening & review?,Dual independent quality assessment?,Included studies listed with important characteristics and results of each?,Publication bias assessed?,Heterogeneity assessed?
5989,Consensus,high,high,unclear,unclear,high,high,low
6283,Consensus,unclear,low,high,low,high,low,low
6524,Consensus,low,low,unclear,unclear,low,unclear,unclear
6739,Consensus,high,low,low,unclear,low,low,low
6881,Consensus,low,low,unclear,low,low,high,low
7374,Consensus,unclear,low,low,high,low,low,low
7394,Consensus,low,low,unclear,high,low,low,low
7702,Consensus,low,low,high,low,low,high,low
8312,Consensus,unclear,low,low,low,high,high,high
8365,Consensus,unclear,low,high,low,low,low,low
8556,Consensus,unclear,low,high,high,high,high,low
9744,Consensus,low,low,low,low,low,high,high
10003,Consensus,unclear,low,low,low,low,high,low
10098,Consensus,unclear,low,low,high,low,high,low
14058,Consensus,unclear,low,low,unclear,low,low,low
14231,Consensus,unclear,low,high,high,low,low,low
14243,Consensus,low,low,low,low,low,low,low
14937,Consensus,unclear,low,high,high,low,low,low
15101,Consensus,unclear,low,high,high,low,high,low
15179,Consensus,unclear,low,unclear,unclear,high,low,low
15194,Consensus,unclear,low,low,low,high,high,high
15690,Consensus,unclear,low,low,unclear,low,low,low
15743,Consensus,low,low,low,low,low,low,low
15853,Consensus,unclear,low,low,high,low,low,low
15914,Consensus,unclear,low,high,low,low,low,low
16404,Consensus,unclear,high,high,high,low,high,low
16405,Consensus,unclear,low,high,high,low,high,high
16550,Consensus,unclear,low,low,low,low,high,low
17314,Consensus,unclear,low,high,high,low,low,low
18648,Consensus,unclear,low,unclear,high,low,high,low
19396,Consensus,unclear,low,high,high,high,low,low
19478,Consensus,unclear,low,unclear,unclear,low,high,low
19816,Consensus,high,low,low,low,low,low,low
20130,Consensus,unclear,low,high,high,low,low,low
20223,Consensus,high,low,unclear,high,low,low,low
20224,Consensus,unclear,low,high,high,low,low,low
20510,Consensus,unclear,low,high,high,low,high,low
20645,Consensus,low,unclear,unclear,unclear,low,high,low
20746,Consensus,low,low,unclear,high,low,high,low
24280,Consensus,unclear,low,unclear,unclear,low,high,low
34220,Consensus,unclear,unclear,high,unclear,low,high,high
34306,Consensus,unclear,low,low,unclear,low,low,low
34650,Consensus,high,high,low,unclear,low,low,low
34669,Consensus,high,high,high,high,low,high,high
34670,Consensus,unclear,low,low,high,low,high,high
35525,Consensus,unclear,high,unclear,high,high,low,high
35660,Consensus,unclear,low,high,high,low,low,low
37251,Consensus,low,high,high,low,high,high,high
37402,Consensus,low,high,high,unclear,low,low,low
37419,Consensus,high,high,low,high,low,low,low
37436,Consensus,unclear,high,high,unclear,high,low,low
37477,Consensus,unclear,high,high,high,low,low,low
37483,Consensus,low,unclear,low,high,low,low,low
37572,Consensus,low,low,high,high,low,high,low
37573,Consensus,unclear,low,high,high,low,low,low
37653,Consensus,unclear,low,low,unclear,low,high,low
37768,Consensus,low,low,unclear,high,low,low,low
37786,Consensus,unclear,unclear,high,high,low,high,high
37789,Consensus,unclear,high,high,high,low,high,high
38126,Consensus,high,low,high,high,low,high,low
39313,Consensus,low,low,high,high,low,low,low
39347,Consensus,unclear,low,low,unclear,low,low,low
39489,Consensus,low,low,unclear,unclear,low,low,low
40588,Consensus,unclear,high,low,low,low,low,low
40668,Consensus,unclear,low,unclear,unclear,low,high,high
40673,Consensus,unclear,low,high,high,high,high,low
40731,Consensus,unclear,high,unclear,high,high,high,low
41404,Consensus,low,low,low,high,low,low,low
41430,Consensus,unclear,unclear,unclear,high,high,high,high
42162,Consensus,unclear,high,unclear,low,low,high,low
42168,Consensus,unclear,high,unclear,unclear,low,low,low
42169,Consensus,unclear,high,high,low,high,low,low
42181,Consensus,unclear,low,unclear,unclear,low,low,low
42186,Consensus,unclear,low,high,high,low,high,high
42193,Consensus,unclear,low,unclear,high,low,low,low
42209,Consensus,unclear,low,unclear,high,low,high,low
42223,Consensus,unclear,high,unclear,high,high,high,high
42279,Consensus,unclear,low,low,high,high,low,low
42288,Consensus,unclear,low,high,high,low,high,low
47427,Consensus,low,low,low,low,low,low,low
47429,Consensus,unclear,low,unclear,high,low,low,low
47440,Consensus,low,low,low,low,low,low,low
47448,Consensus,unclear,low,low,low,low,unclear,low
47484,Consensus,unclear,low,low,low,low,high,low
47491,Consensus,unclear,low,low,low,low,low,low
47527,Consensus,unclear,low,unclear,unclear,high,low,low
47547,Consensus,unclear,low,unclear,high,high,low,low
47548,Consensus,unclear,low,low,low,low,low,low
47553,Consensus,low,low,unclear,unclear,low,low,low
47569,Consensus,low,low,low,low,low,low,low
47594,Consensus,unclear,low,low,unclear,low,high,low
47710,Consensus,unclear,low,unclear,unclear,low,low,low
47733,Consensus,unclear,high,low,high,high,low,low
47762,Consensus,unclear,low,low,unclear,low,low,low
47769,Consensus,unclear,low,unclear,high,low,low,low
47783,Consensus,unclear,low,low,unclear,low,low,low
47787,Consensus,unclear,low,high,unclear,low,low,low
47837,Consensus,unclear,low,low,low,low,high,low
47934,Consensus,low,low,low,high,low,low,low
48050,Consensus,unclear,low,high,low,low,low,low
48113,Consensus,low,low,low,low,low,low,low
48480,Consensus,unclear,low,unclear,high,low,low,low
48708,Consensus,low,low,unclear,high,low,low,low
49806,Consensus,unclear,low,unclear,unclear,high,high,low
50271,Consensus,unclear,low,low,high,low,low,low
50609,Consensus,low,low,unclear,unclear,low,low,low
50837,Consensus,low,low,low,high,low,low,low
51998,Consensus,unclear,low,unclear,high,low,low,low
52110,Consensus,unclear,low,low,high,low,high,low
52117,Consensus,unclear,low,low,unclear,low,low,low
52146,Consensus,unclear,low,unclear,high,low,low,low
52166,Consensus,unclear,low,unclear,high,low,low,low
52171,Consensus,unclear,low,low,low,low,high,low
52311,Consensus,unclear,low,low,unclear,low,high,low
52549,Consensus,low,low,low,low,low,low,low
52750,Consensus,unclear,low,high,high,low,low,high
52765,Taren,unclear,low,low,unclear,low,high,low
52772,Consensus,low,unclear,low,unclear,low,high,low
52790,Consensus,unclear,high,unclear,low,low,low,low
52795,Consensus,low,low,low,unclear,low,high,low
52818,Consensus,unclear,low,unclear,low,low,low,low
52819,Consensus,unclear,low,low,low,low,low,low
52906,Consensus,unclear,high,low,low,low,low,low
52922,Consensus,low,high,low,low,low,low,low
53014,Consensus,low,low,low,low,low,low,low
53145,Consensus,unclear,high,unclear,high,low,low,low
53160,Consensus,unclear,low,low,low,low,low,low
53832,Consensus,unclear,unclear,unclear,low,high,low,low
53940,Consensus,low,high,high,unclear,low,low,low
54015,Consensus,unclear,low,low,high,high,low,low
54366,Consensus,low,low,low,low,low,high,low
54703,Consensus,unclear,low,low,unclear,low,low,low
55544,Taren,unclear,high,low,high,low,low,low
55554,Taren,unclear,low,low,high,low,low,low
55559,Taren,unclear,low,unclear,low,high,low,low
55560,Consensus,unclear,low,low,low,low,high,low
55569,Taren,low,unclear,low,high,low,low,low
55945,Consensus,low,high,unclear,low,low,low,low
55958,Consensus,low,unclear,low,low,low,low,low
57114,Consensus,unclear,low,high,low,low,low,low
57139,Consensus,low,unclear,high,low,low,unclear,high
57182,Consensus,high,low,unclear,unclear,low,low,low
57223,Taren,low,unclear,low,low,low,low,low
57230,Consensus,unclear,low,low,high,low,low,low
57313,Taren,unclear,low,unclear,high,high,low,low
57815,Consensus,unclear,high,unclear,high,high,high,low
58322,Consensus,high,high,low,unclear,low,low,low
58714,Taren,high,high,high,high,high,low,low
59080,Consensus,low,low,low,low,low,low,low
59120,Consensus,unclear,low,unclear,high,low,high,low
59157,Consensus,low,high,low,low,low,high,low
59197,Taren,unclear,high,low,low,low,low,low
59199,Consensus,unclear,low,high,unclear,low,low,low
59207,Taren,low,low,low,unclear,low,low,low
59211,Consensus,unclear,low,low,low,low,low,low
59212,Consensus,unclear,low,unclear,unclear,low,low,low
59227,Taren,low,low,low,low,low,low,low
59233,Taren,unclear,high,unclear,high,low,low,low
59586,Consensus,high,low,low,low,low,low,low
59588,Consensus,low,low,high,low,low,high,low
59595,Taren,unclear,high,low,unclear,low,high,low
59679,Consensus,unclear,low,unclear,high,low,high,low
59725,Consensus,unclear,high,low,high,low,low,low
59740,Consensus,low,low,low,low,low,high,low
59754,Consensus,unclear,high,high,high,high,low,low
59852,Consensus,low,low,low,low,low,low,low
59900,Consensus,unclear,low,high,low,low,low,low
60135,Consensus,low,low,low,low,low,high,low
60141,Consensus,unclear,low,low,unclear,low,low,low
60203,Taren,low,low,high,high,low,low,low
60309,Consensus,unclear,low,unclear,low,low,low,low
60339,Taren,unclear,unclear,high,high,high,low,low
60344,Consensus,unclear,low,low,unclear,high,low,low
