Review ID,Effect Size ID,Within Effect ID,Study Author,Study Year,Study First Page #,Study N,Estimate,Metric,Lower CI,Upper CI,Standard Error,Standard Deviation,Variance,p-value,N Intervention,N Control,Number of Events in Exposure(for OR/RR),Number of Events in Comparison (for OR/RR),Reverse Code
6881,6881_001,6881_001_1,Arora,2014,240,738,1.17,Odds Ratio,0.87,1.57,-999,-999,-999,-999,-999,-999,440,298,FALSE
6881,6881_001,6881_001_2,Gamble,2014,e111700,1184,2.02,Odds Ratio,1.58,2.58,-999,-999,-999,-999,-999,-999,555,629,FALSE
6881,6881_001,6881_001_3,Gradisar,2013,1291,205,3.74,Odds Ratio,1.51,9.24,-999,-999,-999,-999,-999,-999,181,24,FALSE
6881,6881_001,6881_001_4,Hysing,2015,e006748,9846,1.48,Odds Ratio,1.3,1.68,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
6881,6881_001,6881_001_5,Jiang,2015,e0115326,-999,1.39,Odds Ratio,1.16,1.67,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
6881,6881_001,6881_001_6,Kubiszewski,2013,395,332,0.23,Odds Ratio,0.08,0.67,-999,-999,-999,-999,-999,-999,141,43,FALSE
6881,6881_001,6881_001_7,Lemola,2015,405,362,2.74,Odds Ratio,0.5,15,-999,-999,-999,-999,-999,-999,180,182,FALSE
6881,6881_005,6881_005_1,Arora,2013,1254,632,3.84,Odds Ratio,2.44,6.04,-999,-999,-999,-999,-999,-999,289,120,FALSE
6881,6881_005,6881_005_2,Arora,2014,240,738,2.64,Odds Ratio,1.91,3.66,-999,-999,-999,-999,-999,-999,440,298,FALSE
6881,6881_005,6881_005_3,Chahal,2013,42,3396,1.05,Odds Ratio,0.87,1.26,-999,-999,-999,-999,-999,-999,611,2785,FALSE
6881,6881_005,6881_005_4,Gamble,2014,e111700,1184,1.72,Odds Ratio,1.36,2.18,-999,-999,-999,-999,-999,-999,555,629,FALSE
6881,6881_005,6881_005_5,Gradisar,2013,1291,205,3.57,Odds Ratio,1.45,8.79,-999,-999,-999,-999,-999,-999,181,24,FALSE
6881,6881_005,6881_005_6,Kubiszewski,2013,395,332,1.19,Odds Ratio,0.55,2.59,-999,-999,-999,-999,-999,-999,141,43,FALSE
6881,6881_005,6881_005_7,Lemola,2015,405,362,3.4,Odds Ratio,2.15,5.36,-999,-999,-999,-999,-999,-999,180,182,FALSE
6881,6881_007,6881_007_1,Gamble,2014,e111700,1184,3.49,Odds Ratio,2.37,5.14,-999,-999,-999,-999,-999,-999,555,629,FALSE
6881,6881_007,6881_007_2,Gradisar,2013,1291,205,1.57,Odds Ratio,0.56,4.43,-999,-999,-999,-999,-999,-999,181,24,FALSE
48113,48113_001,48113_001_001,Haerens,2006,911,1193,0.04,Standard Mean Difference,-0.1,0.19,-999,-999,-999,-999,966,227,-999,-999,FALSE
48113,48113_001,48113_001_002,Ezendam,2012,248,795,0.07,Standard Mean Difference,-0.07,0.21,-999,-999,-999,-999,421,374,-999,-999,FALSE
48113,48113_001,48113_001_003,Haerens,2006,911,751,0.11,Standard Mean Difference,-0.04,0.25,-999,-999,-999,-999,421,330,-999,-999,FALSE
48113,48113_002,48113_002_001,Prochaska,2004,314,31,-1.06,Standard Mean Difference,-1.83,-0.3,-999,-999,-999,-999,18,13,-999,-999,FALSE
48113,48113_002,48113_002_002,Prochaska,2004,314,30,-0.38,Standard Mean Difference,-1.1,0.35,-999,-999,-999,-999,17,13,-999,-999,FALSE
48113,48113_002,48113_002_003,Casazza,2007,73,184,0.12,Standard Mean Difference,-0.17,0.4,-999,-999,-999,-999,92,92,-999,-999,FALSE
48113,48113_002,48113_002_004,Velicer,2013,82,2983,0.14,Standard Mean Difference,0.07,0.22,-999,-999,-999,-999,1579,1404,-999,-999,FALSE
48113,48113_002,48113_002_005,Mauriello,2010,451,1300,0.19,Standard Mean Difference,0.08,0.3,-999,-999,-999,-999,837,463,-999,-999,FALSE
48113,48113_002,48113_002_006,Prochaska,2004,314,62,0.26,Standard Mean Difference,-0.24,0.76,-999,-999,-999,-999,29,33,-999,-999,FALSE
48113,48113_002,48113_002_007,Prochaska,2004,314,61,0.34,Standard Mean Difference,-0.17,0.85,-999,-999,-999,-999,28,33,-999,-999,FALSE
48113,48113_004,48113_004_001,Haerens,2006,911,1223,-0.03,Standard Mean Difference,-0.17,0.12,-999,-999,-999,-999,966,227,-999,-999,FALSE
48113,48113_004,48113_004_002,Ezendam,2012,248,743,-0.01,Standard Mean Difference,-0.16,0.13,-999,-999,-999,-999,371,372,-999,-999,FALSE
48113,48113_004,48113_004_003,Ezendam,2012,248,705,0,Standard Mean Difference,-0.15,0.15,-999,-999,-999,-999,375,330,-999,-999,FALSE
48113,48113_004,48113_004_004,Haerens,2006,911,751,0.06,Standard Mean Difference,-0.08,0.21,-999,-999,-999,-999,421,330,-999,-999,FALSE
48113,48113_004,48113_004_005,Mauriello,2010,451,1182,0.17,Standard Mean Difference,0.05,0.29,-999,-999,-999,-999,725,457,-999,-999,FALSE
48113,48113_004,48113_004_006,Mauriello,2010,451,1430,0.18,Standard Mean Difference,0.07,0.29,-999,-999,-999,-999,906,524,-999,-999,FALSE
48113,48113_005,48113_005_001,Casazza,2007,73,184,-0.32,Standard Mean Difference,-0.61,-0.03,-999,-999,-999,-999,92,92,-999,-999,TRUE
48113,48113_005,48113_005_002,Haerens,2006,911,787,-0.17,Standard Mean Difference,-0.32,-0.03,-999,-999,-999,-999,447,340,-999,-999,TRUE
48113,48113_005,48113_005_003,Haerens,2007,443,1710,-0.03,Standard Mean Difference,-0.13,0.07,-999,-999,-999,-999,1055,655,-999,-999,TRUE
48113,48113_005,48113_005_004,Haerens,2006,911,1219,0,Standard Mean Difference,-0.14,0.15,-999,-999,-999,-999,1005,214,-999,-999,TRUE
48113,48113_005,48113_005_005,Haerens,2007,443,1340,0.01,Standard Mean Difference,-0.09,0.12,-999,-999,-999,-999,685,655,-999,-999,TRUE
48113,48113_006,48113_006_001,Ezendam,2012,248,772,-0.17,Standard Mean Difference,-0.31,-0.03,-999,-999,-999,-999,412,360,-999,-999,TRUE
48113,48113_006,48113_006_002,Haerens,2006,911,778,-0.03,Standard Mean Difference,-0.17,0.11,-999,-999,-999,-999,437,341,-999,-999,TRUE
48113,48113_006,48113_006_003,Haerens,2007,443,1710,-0.03,Standard Mean Difference,-0.13,0.07,-999,-999,-999,-999,1055,655,-999,-999,TRUE
48113,48113_006,48113_006_004,Haerens,2006,911,1212,0,Standard Mean Difference,-0.15,0.15,-999,-999,-999,-999,999,213,-999,-999,TRUE
