Title,Authors,Published Year,Journal,Volume,Issue,Pages,DOI
Impact of computer-mediated nutrition education interventions in adolescents: A systematic review,"Ajie, W.; Chapman-Novakofski, K.",2013,FASEB Journal. Conference: Experimental Biology,27,no pagination,,
Childhood Overweight and Obesity is Increasing in Gulf Cooperation Council Countries: A Review of the Literature,"Al Yazeedi, Basma; Berry, Diane C.",2019,Journal of Transcultural Nursing,30,6,603-615,10.1177/1043659619829528
Using mass media campaigns to reduce youth tobacco use: a review,"Allen, Jane Appleyard; Duke, Jennifer C.; Davis, Kevin C.; Kim, Annice E.; Nonnemaker, James M.; Farrelly, Matthew C.",2015,American Journal of Health Promotion,30,2,e71-e82,
The efficacy of electronic health interventions targeting improved sleep for achieving prevention of weight gain in adolescents and young to middle-aged adults: A systematic review.,"Allman-Farinelli, Margaret; Chen, Juliana; Chevance, Guillaume; Partridge, Stephanie R; Gemming, Luke; Patrick, Kevin; Godino, Job G",2020,Obesity reviews : an official journal of the International Association for the Study of Obesity,21,6,e13006,10.1111/obr.13006
The relationship between smartphone use and dry eye disease: A systematic review with a narrative synthesis.,"Al-Marri, Khaloud; Al-Qashoti, Maha; Al-Zoqari, Hissa; Elshaikh, Usra; Naqadan, Alya; Saeed, Raghad; Faraj, Jameela; Shraim, Mujahed",2021,Medicine,100,38,e27311,10.1097/MD.0000000000027311
The Relationship Between Dry Eye Disease and Digital Screen Use.,"Al-Mohtaseb, Zaina; Schachter, Scott; Shen Lee, Bridgitte; Garlich, Jaclyn; Trattler, William",2021,"Clinical ophthalmology (Auckland, N.Z.)",15,,3811-3820,10.2147/OPTH.S321591
"Interplay between social media use, sleep quality and mental health outcomes in youth: a systematic review","Alonzo, R. T.; Hussain, J.; Anderson, K.; Stranges, S.",2019,Sleep Medicine,64,,S365-S365,10.1016/j.sleep.2019.11.1017
"Interplay between social media use, sleep quality, and mental health in youth: A systematic review.","Alonzo, Rea; Hussain, Junayd; Stranges, Saverio; Anderson, Kelly K",2021,Sleep medicine reviews,56,,101414,10.1016/j.smrv.2020.101414
Technology-based interventions for children with reading difficulties: a literature review from 2010 to 2020.,"Alqahtani, Saeed S.",2020,Educational Technology Research & Development,68,6,3495-3525,
Studying the Effects of Mobile Devices on Young Children with Autism Spectrum Disorder: a Systematic Literature Review,"Al-Rashaida, M; Amayra, I; Lopez-Paz, JF; Martinez, O; Lazaro, E; Berrocoso, S; Garcia, M; Perez, M; Rodriguez, AA; Luna, PM; Perez-Nunez, P; Caballero, P",,REVIEW JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,,,,10.1007/s40489-021-00264-9
What factors are associated with obesity-related health behaviours among child refugees following resettlement in developed countries? A systematic review and synthesis of qualitative and quantitative evidence,"Alsubhi, M; Goldthorpe, J; Epton, T; Khanom, S; Peters, S",2020,OBESITY REVIEWS,21,11,,10.1111/obr.13058
Web-based weight management programs for children and adolescents: a systematic review of randomized controlled trial studies (Structured abstract),"An, J. Y.; Hayman, L. L.; Park, Y. S.; Dusaj, T. K.; Ayres, C. G.",2009,Advances in Nursing Science,32,3,222-240,
Impact of Alcohol Advertising and Media Exposure on Adolescent Alcohol Use: A Systematic Review of Longitudinal Studies,"Anderson, P.; de Bruijn, A.; Angus, K.; Gordon, R.; Hastings, G.",2009,Alcohol and Alcoholism,44,3,229-243,
Systematic Review of Smartphone Apps as a mHealth Intervention to Address Substance Abuse in Adolescents and Adults,Anonymous.,2021,Journal of addictions nursing,32,3,E23,http://dx.doi.org/10.1097/JAN.0000000000000432
Effectiveness of web-based programs on the reduction of childhood obesity in school-aged children: A systematic review,"Antwi, F. A.; Fazylova, N.; Garcon, M. C.; Lopez, L.; Rubiano, R.; Slyer, J. T.",2013,JBI Database of Systematic Reviews and Implementation Reports,11,6,Jan-44,
A Systematic Review of the Evidence Supporting Mobile- and Internet-Based Psychological Interventions For Self-Harm,"Arshad, U.; Farhat ul, Ain; Gauntlett, J.; Husain, N.; Chaudhry, N.; Taylor, P. J.",2020,Suicide and Life-Threatening Behavior,50,1,151-179,10.1111/sltb.12583
Usability and Engagement Testing of mHealth Apps in Paediatric Obesity: A Narrative Review of Current Literature,"Arthurs, N.; Tully, L.; O'Malley, G.; Browne, S.",2022,International Journal of Environmental Research and Public Health,19,3,1453,https://dx.doi.org/10.3390/ijerph19031453
Family-based childhood obesity prevention interventions: a systematic review and quantitative content analysis,"Ash, T.; Agaronov, A.; Young, T.; Aftosmes-Tobio, A.; Davison, K. K.",2017,International Journal of Behavioral Nutrition and Physical Activity,14,,,
Electronically-delivered interventions to reduce cannabis use in adolescents: A systematic review,"Asuzu, K.; Matin, A.; Van Noord, M.; Onigu-Otite, E.",2018,Adolescent Psychiatry,8,3,195-213,http://dx.doi.org/10.2174/2210676609666181203094249
Associations between children's diet quality and watching television during meal or snack consumption: A systematic review,"Avery, A.; Anderson, C.; McCullough, F.",2017,Maternal and Child Nutrition.,,,,
Digital Addiction: Systematic Review of Computer Game Addiction Impact on Adolescent Physical Health,"Aziz, N; Nordin, MJ; Abdulkadir, SJ; Salih, MMM",2021,ELECTRONICS,10,9,,10.3390/electronics10090996
Effects of mobile health including wearable activity trackers to increase physical activity outcomes among healthy children and adolescents: Systematic review,"Böhm, B.; Karwiese, S. D.; Böhm, H.; Oberhoffer, R.",2019,Journal of Medical Internet Research,21,4,,10.2196/mhealth.8298
Effects of Mobile Health Including Wearable Activity Trackers to Increase Physical Activity Outcomes Among Healthy Children and Adolescents: Systematic Review,"Böhm, Birgit; Karwiese, Svenja D.; Böhm, Harald; Oberhoffer, Renate",2019,JMIR mHealth and uHealth,7,4,e8298,10.2196/mhealth.8298
Tv food advertising geared to children in Latin-American countries and Hispanics in the USA: a review,"Bacardi-Gascon, M.; Jimenez-Cruz, A.",2015,Nutricion hospitalaria,31,5,1928-1935,
Augmented reality trends in education: a systematic review of research and applications,"Bacca, Jorge; Baldiris, Silvia; Fabregat, Ramon; Graf, Sabine",2014,,,,,
Texting and Mobile Phone App Interventions for Improving Adherence to Preventive Behavior in Adolescents: A Systematic Review,"Badawy, S. M.; Kuhns, L. M.",2017,JMIR Mhealth Uhealth,5,4,e50,10.2196/mhealth.6837
Obesity intervention programs among adolescents using social cognitive theory: a systematic literature review,"Bagherniya, M.; Taghipour, A.; Sharma, M.; Sahebkar, A.; Contento, I. R.; Keshavarz, S. A.; Darani, F. M.; Safarian, M.",2018,Health Education Research,33,1,26-39,10.1093/her/cyx079
Sexual health promotion for young people delivered via digital media: a scoping review,"Bailey, Julia; Mann, Sue; Wayal, Sonali; Hunter, Rachael; Free, Caroline; Abraham, Charles; Murray, Elizabeth",2015,,,,,10.3310/phr03130
A review of web based interventions focusing on alcohol use,"Balhara, YPS; Verma, R",2014,Annals of medical and health sciences research,4,4,472-480,
Online Positive Interventions to Promote Well-being and Resilience in the Adolescent Population: A Narrative Review,"Banos, R. M.; Etchemendy, E.; Mira, A.; Riva, G.; Gaggioli, A.; Botella, C.",2017,Frontiers in Psychiatry,8,,,
Scoping Review of Pokemon Go: Comprehensive Assessment of Augmented Reality for Physical Activity Change,"Baranowski, T.; Lyons, E. J.",2020,Games for health journal,9,2,71-84,10.1089/g4h.2019.0034
Nutrition Education and Dietary Behavior Change Games: A Scoping Review,"Baranowski, T.; Ryan, C.; Hoyos-Cespedes, A.; Lu, A. S.",2019,Games for health journal,8,3,153-176,10.1089/g4h.2018.0070
Playing for real: video games and stories for health-related behavior change,"Baranowski, Tom; Buday, Richard; Thompson, Debbe I.; Baranowski, Janice",2008,American Journal Of Preventive Medicine,34,1,74-82,
The Reality of Virtual Schools: A Review of the Literature,"Barbour, Michael K.; Reeves, Thomas C.",2009,Computers & Education,52,2,402-416,
Mobile Phone and Web 2.0 Technologies for Weight Management: A Systematic Scoping Review,"Bardus, M.; Smith, J. R.; Samaha, L.; Abraham, C.",2015,Journal of Medical Internet Research,17,11,,
Social Media Use as a Tool to Facilitate or Reduce Cyberbullying Perpetration: A Review Focusing on Anonymous and Nonanonymous Social Media Platforms,"Barlett, C. P.; DeWitt, C. C.; Maronna, B.; Johnson, K.",2018,Violence and Gender,5,3,147-152,10.1089/vio.2017.0057
A systematic literature review regarding computational thinking and programming in early childhood education,"Bati, Kaan",2022,Education & Information Technologies,27,2,2059-2082,10.1007/s10639-021-10700-2
Technology supporting written productivity in children with learning disabilities: A critical review,"Batorowicz, B.; Missiuna, C. A.; Pollock, N. A.",2012,Canadian Journal of Occupational Therapy-Revue Canadienne D Ergotherapie,79,4,211-224,
Effectiveness of interventions in the prevention of childhood obesity,"Bautista-Castaño, Inmaculada; Doreste, Jorge; Serra-Majem, Lluis",2004,European Journal Of Epidemiology,19,7,617-622,
The effect of obesity prevention interventions according to socioeconomic position: A systematic review,"Beauchamp, A.; Peeters, A.; Backholer, K.; Magliano, D.",2013,Obesity Research and Clinical Practice,7,,e48,
Television's impact on children's reading skills: a review of research,"Beentjes, Johannes W. J.; Voort, T. H. A. van der",1988,Reading Research Quarterly,23,,389-413,10.2307/747640
The landscape of research on the use of digital game-based learning apps to nurture creativity among young children: A review,"Behnamnia, Najmeh; Kamsin, Amirrudin; Ismail, Maizatul Akmar Binti",2020,Thinking Skills and Creativity,37,,,10.1016/j.tsc.2020.100666
What are the determinants of children's sleep behavior? A systematic review of longitudinal studies,"Belmon, Laura S.; van Stralen, Maartje M.; Busch, Vincent; Harmsen, Irene A.; Chinapaw, Mai J. M.",2019,Sleep medicine reviews,43,,60-70,10.1016/j.smrv.2018.09.007
Teacher knowledge for using technology to foster early literacy: A literature review,"Belo, N.; McKenney, S.; Voogt, J.; Bradley, B.",2016,Computers in Human Behavior,60,,372-383,
Video games and real-life aggression: Review of the literature,"Bensley, L.; Van Eenwyk, J.",2001,Journal of Adolescent Health,29,4,244-257,
"Exergaming for children and adolescents: Strengths, weaknesses, opportunities and threats","Benzing, V.; Schmidt, M.",2018,Journal of clinical medicine,7,11,422,http://dx.doi.org/10.3390/jcm7110422
"Social Media Use and Health and Well-being of Lesbian, Gay, Bisexual, Transgender, and Queer Youth: Systematic Review","Berger, M. N.; Taba, M.; Marino, J. L.; Lim, M. S. C.; Skinner, S. R.",2022,J Med Internet Res,24,9,e38449,10.2196/38449
